,카테고리,제목,강사,가격,평점,리뷰,URL
1,웹 프로그래밍 - 프로그래밍,HTML5 & CSS3 기초 문법 올인원,개발자 이도해,0,5.0,,https://edu.goorm.io/lecture/28488/html5-css3-기초-문법-올인원
2,프로그래밍 - 프로그래밍 기초,컴퓨터 GUI 앱을 만들면서 tkinter 배우기,행보칸코딩,0,5.0,,https://edu.goorm.io/lecture/28428/컴퓨터-gui-앱을-만들면서-tkinter-배우기
3,웹 프로그래밍 - 프로그래밍,[하루10분|Web-App] 생애최초 웹프레임워크 Ruby on Rails,판다코딩,0,5.0,,https://edu.goorm.io/lecture/28494/하루10분-web-app-생애최초-웹프레임워크-ruby-on-rails
4,프로그래밍 - 프로그래밍 기초,실전!웹사이트제작 Step By Step! (Basic 강좌 : 쌩초보 코스),J.young,10000,0.0,,https://edu.goorm.io/lecture/28099/실전-웹사이트제작-step-by-step-basic-강좌-쌩초보-코스
5,웹 프로그래밍 - 프로그래밍,실전!웹사이트제작 Step By Step! (클론코딩 : 포메인사이트제작 - 풀페이지),J.young,28000,0.0,,https://edu.goorm.io/lecture/28100/실전-웹사이트제작-step-by-step-클론코딩-포메인사이트제작-풀페이지
6,웹 프로그래밍 - 프로그래밍,실전!웹사이트제작 Step By Step! (클론코딩 : crew a la Mode 사이트제작 - 반응형웹),J.young,28000,0.0,,https://edu.goorm.io/lecture/28057/실전-웹사이트제작-step-by-step-클론코딩-crew-a-la-mode-사이트제작-반응형웹
7,프로그래밍 - 인공지능,퇴근후 텐서플로: Basic,퇴근후딴짓,0,5.0,"""친절한 설명 👍 굳!!""",https://edu.goorm.io/lecture/28058/퇴근후-텐서플로-basic
8,웹 프로그래밍 - 프로그래밍,입문자를 위한 CSS 기초 강의,유노코딩,0,5.0,"""ㅇ""",https://edu.goorm.io/lecture/27976/입문자를-위한-css-기초-강의
9,웹 프로그래밍 - 프로그래밍,입문자를 위한 HTML 기초 강의,유노코딩,0,5.0,"""너무 친절하고 자세하게 설명해주셔서 이해가 잘되고 너무 유익한 강의같습니다!""",https://edu.goorm.io/lecture/27971/입문자를-위한-html-기초-강의
10,웹 프로그래밍 - 프로그래밍,Vuetify Admin Template 만들기 - 실전편,짐코딩 GYM CODING,0,0.0,,https://edu.goorm.io/lecture/27961/vuetify-admin-template-만들기-실전편
11,웹 프로그래밍 - 프로그래밍,Vuetify Admin Template 만들기 - 기본편,짐코딩 GYM CODING,0,0.0,,https://edu.goorm.io/lecture/27955/vuetify-admin-template-만들기-기본편
12,프로그래밍 - 모바일 프로그래밍,[애플 공식 교재] iOS 앱 만들기 Part2,코더스하이,38500,5.0,"""좋은 강의 감사합니다""",https://edu.goorm.io/lecture/26757/애플-공식-교재-ios-앱-만들기-part2
13,프로그래밍 - 프로그래밍 기초,Jupyter Notebook으로 시작하는 Python,박범진,0,5.0,"""잘 수강합니다""",https://edu.goorm.io/lecture/26535/jupyter-notebook으로-시작하는-python
14,웹 프로그래밍 - 프로그래밍,[저자 직강] Do it! HTML/CSS/JS 웹 표준의 정석,이지스퍼블리싱,0,4.9,"""알아듣기 쉽게 친절하게 설명해주시네요^^""",https://edu.goorm.io/lecture/26571/저자-직강-do-it-html-css-js-웹-표준의-정석
15,프로그래밍 - 인공지능,넘파이 마스터 클래스,Shin's Lab,35640,0.0,,https://edu.goorm.io/lecture/26505/넘파이-마스터-클래스
16,웹 프로그래밍 - 프로그래밍,김버그의 UI 개발 부트캠프 - 경력같은 신입으로 레벨업,김버그,50000,5.0,"""사랑합니다,,, 김버그님,, 버그님께서는 제 인생을 구원하셨어요.  저만 듣고 싶으면서도 동네방네 소문내고 싶은 강의입니다.""",https://edu.goorm.io/lecture/25681/김버그의-ui-개발-부트캠프-경력같은-신입으로-레벨업
17,프로그래밍 - 프로그래밍 기초,"가볍게 시작하는 C언어, 라이트 C",범고래의 SW 공작소,0,4.6,"""5강 째 듣고 있는데, 이렇게 초보자를 위해 무료로 강의를 열어주셔서 감사드립니다. 교재도 딱 필요한 기본적인 내용만 컴팩트하게 들어있어 좋습니다. 강의 또한 예제 위주로 진행해 주셔서 이해가 잘 됩니다. 앞으로도 잘 부탁드립니다!""",https://edu.goorm.io/lecture/25515/가볍게-시작하는-c언어-라이트-c
18,프로그래밍 - 데이터 추출/분석,빅데이터분석기사 필기 2021,핵집,160000,0.0,,https://edu.goorm.io/lecture/26125/빅데이터분석기사-필기-2021
19,프로그래밍 - 보안,ESXi 가상 인프라 구축과 보안 솔루션을 활용한 이상징후 탐지 모니터링,보안프로젝트,198000,0.0,,https://edu.goorm.io/lecture/26302/esxi-가상-인프라-구축과-보안-솔루션을-활용한-이상징후-탐지-모니터링
20,웹 프로그래밍 - 프로그래밍,누구나 블로그 개발 할 수 있다! React 기반 Gatsby로 기술 블로그 개발하기,주현도,0,5.0,"""좋아요 """,https://edu.goorm.io/lecture/25881/누구나-블로그-개발-할-수-있다-react-기반-gatsby로-기술-블로그-개발하기
21,웹 프로그래밍 - 프로그래밍,실전! 웹사이트 제작 Step by Step - 호텔 라한 Application Course,J.young,27500,3.0,,https://edu.goorm.io/lecture/26324/실전-웹사이트-제작-step-by-step-호텔-라한-application-course
22,프로그래밍 - 인공지능,딥러닝 네트워크의 연산,Shin's Lab,39000,0.0,,https://edu.goorm.io/lecture/26039/딥러닝-네트워크의-연산
23,프로그래밍 - 데이터 추출/분석,데이터 시각화를 위한 파이썬,Shin's Lab,39000,0.0,,https://edu.goorm.io/lecture/24603/데이터-시각화를-위한-파이썬
24,프로그래밍 - 인공지능,딥러닝을 위한 파이썬 레벨2,Shin's Lab,39000,0.0,,https://edu.goorm.io/lecture/26038/딥러닝을-위한-파이썬-레벨2
25,프로그래밍 - 인공지능,딥러닝을 위한 파이썬 레벨1,Shin's Lab,35100,0.0,,https://edu.goorm.io/lecture/26037/딥러닝을-위한-파이썬-레벨1
26,프로그래밍 - 보안,모의해킹 취업 준비하는데 알아두면 좋은 것,보안프로젝트,0,0.0,,https://edu.goorm.io/lecture/25879/모의해킹-취업-준비하는데-알아두면-좋은-것
27,프로그래밍 - 프로그래밍 기초,파이썬 개발자를 위한 go언어 기초,행보칸코딩,0,4.5,"""go 언어는 처음 접해보는데 익숙한 파이썬과 비교해주시니 더욱 쉽게 이해할 수 있을 것 같아요!""",https://edu.goorm.io/lecture/25552/파이썬-개발자를-위한-go언어-기초
28,웹 프로그래밍 - 프로그래밍,[하루 10분|Web Project] HTML/JS/CSS로 나만의 MBTI 사이트 만들기,판다코딩,0,4.9,"""굿""",https://edu.goorm.io/lecture/25652/하루-10분-web-project-html-js-css로-나만의-mbti-사이트-만들기
29,웹 프로그래밍 - 프로그래밍,React & TypeScript & GraphQL 로 버그없이 빠르게 개발하기!,Alucard,25000,2.5,,https://edu.goorm.io/lecture/25571/react-typescript-graphql-로-버그없이-빠르게-개발하기
30,프로그래밍 - 인공지능,파이썬으로 구현하는 CF 알고리즘,최욱진,35100,4.8,"""수업 내용이 알차고 좋네요!!! 재밌게 잘 들었습니다~~ㅎㅎㅎ""",https://edu.goorm.io/lecture/25544/파이썬으로-구현하는-cf-알고리즘
31,프로그래밍 - 프로그래밍 기초,[하루 10분|C++] 누구나 쉽게 배우는 C++ 프로그래밍 입문,판다코딩,0,5.0,"""c++ 전체적인 부분을 이해할 수 있게 된것같아요. 물론 자세히 파고들면 더 배울 부분이 많겠지만 미리 맛만 보기에는 좋네요!! 다만 7, 8강 넘어가면서부터는 난이도가 너무 올라가서 이해하기 살짝 힘들지만 많이 보다 보면 익숙해질거라고 생각하고 들었어요!""",https://edu.goorm.io/lecture/25274/하루-10분-c-누구나-쉽게-배우는-c-프로그래밍-입문
32,프로그래밍 - 프로그래밍 교양,[2021 개정] IT 웹 개발자 취준 백서,컴공돌이,10000,3.0,"""좋은 강의 감사합니다 윙""",https://edu.goorm.io/lecture/25207/2021-개정-it-웹-개발자-취준-백서
33,프로그래밍 - IoT,"HAL, CubeMX, TrueSTUDIO를 이용한 STM32F4 따라하기 무료 강좌",박원엽,0,0.0,,https://edu.goorm.io/lecture/25454/hal-cubemx-truestudio를-이용한-stm32f4-따라하기-무료-강좌
34,웹 프로그래밍 - 프로그래밍,작정하고 django! 핀터레스트 만들기,박형석,77000,5.0,"""장고 강의 많이 없는데 간결하고 내용 너무 좋네요!""",https://edu.goorm.io/lecture/25441/작정하고-django-핀터레스트-만들기
35,웹 프로그래밍 - 프로그래밍,CentOS 7 설치부터 웹서버 구축까지,zzstudio-dev,0,5.0,""" ㄴㅇㅇ""",https://edu.goorm.io/lecture/25119/centos-7-설치부터-웹서버-구축까지
36,웹 프로그래밍 - 프로그래밍,문법책 졸업하자! 만들면서 복습하는 JavaScript,강태공,49000,5.0,"""너무 좋아요 """,https://edu.goorm.io/lecture/25046/문법책-졸업하자-만들면서-복습하는-javascript
37,웹 프로그래밍 - 프로그래밍,"파이썬 웹 스크래핑, 제가 가진 모든 비법을 알려드리겠습니다.",나도코딩,0,5.0,"""모든 강의가 흥미로웠고 파이썬에 대한 지식과 기술을 습득할 수 있었습니다. 마지막 프로젝트 강의를 듣기 전에 혼자서 구현을 먼저 해보고 강의를 들으며 제 코드와 비교를 해보았습니다. 덕분에 파이썬 기술의 수준이 올라간 것 같습니다. 정말 유익한 시간이었습니다.   """,https://edu.goorm.io/lecture/24961/파이썬-웹-스크래핑-제가-가진-모든-비법을-알려드리겠습니다
38,웹 프로그래밍 - 프로그래밍,코딩 입문 - 하다 보니 알게 되는 자바스크립트,월리,0,5.0,"""이해 잘됩니다""",https://edu.goorm.io/lecture/24963/코딩-입문-하다-보니-알게-되는-자바스크립트
39,프로그래밍 - 블록 프로그래밍,2021 온라인 코딩 파티 시즌1 - 블록 코딩 용사가 되자!!!,구름,0,4.7,"""캐릭터가 없어지는 버그 때문에 못하겠어요""",https://edu.goorm.io/lecture/24788/2021-온라인-코딩-파티-시즌1-블록-코딩-용사가-되자
40,프로그래밍 - 프로그래밍 기초,2021 온라인 코딩 파티 시즌1 - 텍스트 코딩 용사가 되자!!!,구름,0,4.8,"""jhgvkhjb""",https://edu.goorm.io/lecture/24789/2021-온라인-코딩-파티-시즌1-텍스트-코딩-용사가-되자
41,프로그래밍 - 데이터 추출/분석,2021 온라인 코딩 파티 시즌1 - 파이썬 데이터 분석 및 시각화!!!,구름,0,5.0,""":))))""",https://edu.goorm.io/lecture/24790/2021-온라인-코딩-파티-시즌1-파이썬-데이터-분석-및-시각화
42,프로그래밍 - 블록 프로그래밍,"2021 온라인 코딩 파티 시즌1 - 둘이서 코딩, 거북선과 척후선!!!",구름,0,4.6,"""와우 너무 재밌어요 """,https://edu.goorm.io/lecture/24791/2021-온라인-코딩-파티-시즌1-둘이서-코딩-거북선과-척후선
43,프로그래밍 - 블록 프로그래밍,2021 온라인 코딩 파티 시즌1 - 코딩랜드를 구하라!!!,구름,0,5.0,"""똥싸세요""",https://edu.goorm.io/lecture/24792/2021-온라인-코딩-파티-시즌1-코딩랜드를-구하라
44,프로그래밍 - 프로그래밍 기초,2021 온라인 코딩 파티 시즌1 - 도전 틱택토!!!,구름,0,5.0,"""ㅋㅋ 심심풀이로 들어봤는데 재밌네요.""",https://edu.goorm.io/lecture/24793/2021-온라인-코딩-파티-시즌1-도전-틱택토
45,프로그래밍 - 프로그래밍 기초,[애플 공식 교재] 스위프트 퍼즐 2 - AD free,코더스하이,11000,0.0,,https://edu.goorm.io/lecture/24597/애플-공식-교재-스위프트-퍼즐-2-ad-free
46,프로그래밍 - 프로그래밍 기초,[애플 공식 교재] 스위프트 퍼즐 1 - AD free,코더스하이,11000,0.0,,https://edu.goorm.io/lecture/24579/애플-공식-교재-스위프트-퍼즐-1-ad-free
47,웹 프로그래밍 - 프로그래밍,스프링부트 개념정리,데어 프로그래밍,0,4.8,"""개념잡기에 너무 좋습니다""",https://edu.goorm.io/lecture/24604/스프링부트-개념정리
48,웹 프로그래밍 - 프로그래밍,스프링부트 나만의 블로그 만들기,데어 프로그래밍,0,5.0,"""설명이 너무 잘되어있어요 """,https://edu.goorm.io/lecture/24605/스프링부트-나만의-블로그-만들기
49,웹 프로그래밍 - 프로그래밍,스프링부트 시큐리티 특강,데어 프로그래밍,0,5.0,,https://edu.goorm.io/lecture/24606/스프링부트-시큐리티-특강
50,웹 프로그래밍 - 프로그래밍,[따라하며 배우는 리액트&파이어베이스] 채팅 애플리케이션 만들기,John Ahn,31900,4.2,"""중반정도 듣고 있는데 아무래도 채팅 기능 구현에 중점을 둔 내용이다 보니 사용하는 다른 라이브러리에 대해 자세한 설명이 곁들여지지 않아 아쉽습니다. 예를 들어, react-hook-form이 어떤 부분에서 성능이 좋은지... 해당 라이브러리를 사용하면 재렌더링 횟수가 많이 줄어드는 부분을 리액트의 제어 컴포넌트와 비제어 컴포넌트에 연관해서 추가 설명이 필요할 거 같은데, 이런 부분들이 빠른 진행을 위해 간단하게 설명하고(""성능이 좋다""DELIMITER111  ""이 라이브러리는 ref를 사용하는 방식이다"" 식으로) 넘어가는 거 같아 아쉽습니다.   그림으로 컴포넌트 구조등을 설명해주신 자료가 굉장히 좋습니다. 한눈에 보기에 정말 편리합니다.  완강 후에 수강평 다시 작성하겠습니다.""",https://edu.goorm.io/lecture/24672/따라하며-배우는-리액트-파이어베이스-채팅-애플리케이션-만들기
51,웹 프로그래밍 - 프로그래밍,실전! 웹사이트 제작 Step by Step Basic Course - 한국소비자원,J.young,11000,5.0,,https://edu.goorm.io/lecture/24580/실전-웹사이트-제작-step-by-step-basic-course-한국소비자원
52,웹 프로그래밍 - 프로그래밍,실전! 웹사이트 제작 Step by Step Basic Course - '돕다' 웹사이트,J.young,22000,5.0,,https://edu.goorm.io/lecture/24581/실전-웹사이트-제작-step-by-step-basic-course-돕다-웹사이트
53,프로그래밍 - 기타,생산성 UP! R과 파이썬으로 하는 문서 자동화,Issac Lee,0,0.0,,https://edu.goorm.io/lecture/24475/생산성-up-r과-파이썬으로-하는-문서-자동화
54,프로그래밍 - 프로그래밍 기초,가위바위보 게임을 만들며 맛보는 파이썬3,구름,0,4.9,"""very good""",https://edu.goorm.io/lecture/24499/가위바위보-게임을-만들며-맛보는-파이썬3
55,프로그래밍 - 알고리즘,실전 유형 코딩 테스트 모의고사 3000 Part2,구름,50000,3.0,,https://edu.goorm.io/lecture/24058/실전-유형-코딩-테스트-모의고사-3000-part2
56,프로그래밍 - 데이터 추출/분석,SQL과 구글시트로 시작하는 데이터분석,박범진,19800,5.0,,https://edu.goorm.io/lecture/24342/sql과-구글시트로-시작하는-데이터분석
57,프로그래밍 - 알고리즘,실전 유형 코딩 테스트 모의고사 3000 Part1,구름,50000,5.0,,https://edu.goorm.io/lecture/24057/실전-유형-코딩-테스트-모의고사-3000-part1
58,웹 프로그래밍 - 프로그래밍,신입 개발자로 살아남기 Lv1. 나만의 기술 블로그로 관리하는 개발자 커리어,원혜린,39000,4.6,"""go""",https://edu.goorm.io/lecture/23072/신입-개발자로-살아남기-lv1-나만의-기술-블로그로-관리하는-개발자-커리어
59,프로그래밍 - 데브옵스,리눅스 쉘 스크립트 마스터,홍영기,99000,0.0,,https://edu.goorm.io/lecture/24102/리눅스-쉘-스크립트-마스터
60,프로그래밍 - 모바일 프로그래밍,[애플 공식 교재] iOS 앱 만들기 Part1,코더스하이,38500,5.0,"""유익해요""",https://edu.goorm.io/lecture/24101/애플-공식-교재-ios-앱-만들기-part1
61,프로그래밍 - 모바일 프로그래밍,[애플 공식 교재] iOS 앱 만들기 입문,코더스하이,38500,5.0,"""재밌고 알아듣기 쉽게 설명해주셔서 너무 좋습니다 !""",https://edu.goorm.io/lecture/23901/애플-공식-교재-ios-앱-만들기-입문
62,프로그래밍 - 데이터 추출/분석,파이썬으로 하는 데이터 분석 - Pandas 제대로 배우기,아이티고,36000,0.0,,https://edu.goorm.io/lecture/23732/파이썬으로-하는-데이터-분석-pandas-제대로-배우기
63,프로그래밍 - 모바일 프로그래밍,[2020 NEW] 코틀린 기반 안드로이드 앱 개발 Part3 - 데이터 관리와 네트워크,소프트캠퍼스,66000,0.0,,https://edu.goorm.io/lecture/23730/2020-new-코틀린-기반-안드로이드-앱-개발-part3-데이터-관리와-네트워크
64,프로그래밍 - 모바일 프로그래밍,[2020 NEW] 코틀린 기반 안드로이드 앱 개발 Part2 - 메뉴와 4대 구성요소,소프트캠퍼스,66000,0.0,,https://edu.goorm.io/lecture/23729/2020-new-코틀린-기반-안드로이드-앱-개발-part2-메뉴와-4대-구성요소
65,프로그래밍 - 데이터 추출/분석,파이썬 기반 판다스(Pandas)를 활용한 데이터 분석,소프트캠퍼스,66000,0.0,,https://edu.goorm.io/lecture/23731/파이썬-기반-판다스-pandas-를-활용한-데이터-분석
66,웹 프로그래밍 - 프로그래밍,한 눈에 끝내는 CSS/JS 애니메이션,구름,59000,5.0,,https://edu.goorm.io/lecture/17509/한-눈에-끝내는-css-js-애니메이션
67,프로그래밍 - 모바일 프로그래밍,현직 개발자가 알려주는 안드로이드 코틀린 앱 제작,홍드로이드,0,4.8,"""간단하고 쉬워서 좋아요!""",https://edu.goorm.io/lecture/23399/현직-개발자가-알려주는-안드로이드-코틀린-앱-제작
68,프로그래밍 - 프로그래밍 기초,현직 개발자가 알려주는 자바 기초 문법,홍드로이드,0,5.0,"""good!""",https://edu.goorm.io/lecture/23398/현직-개발자가-알려주는-자바-기초-문법
69,프로그래밍 - 알고리즘,실전 유형 코딩 테스트 모의고사 3000,구름,100000,0.0,,https://edu.goorm.io/lecture/23503/실전-유형-코딩-테스트-모의고사-3000
70,프로그래밍 - 데이터 추출/분석,파이썬으로 하는 데이터 분석 - 시각화 제대로 배우기,아이티고,40000,0.0,,https://edu.goorm.io/lecture/23405/파이썬으로-하는-데이터-분석-시각화-제대로-배우기
71,프로그래밍 - 인공지능,[온라인 SW 아카데미] 너도 할 수 있어! AI 만들기,세명컴퓨터고등학교장,0,5.0,"""감사합니다.""",https://edu.goorm.io/lecture/22325/온라인-sw-아카데미-너도-할-수-있어-ai-만들기
72,프로그래밍 - 보안,[온라인 SW 아카데미] 컴린이도 화이트해커가 될 수 있다?!,세명컴퓨터고등학교장,0,5.0,"""꼭 입학 할겁니다""",https://edu.goorm.io/lecture/22341/온라인-sw-아카데미-컴린이도-화이트해커가-될-수-있다
73,프로그래밍 - 게임 개발,[온라인 SW 아카데미] 유니티로 배우는 게임 프로그래밍 기초,세명컴퓨터고등학교장,0,5.0,"""이해가 잘되는 강의입니다.""",https://edu.goorm.io/lecture/22342/온라인-sw-아카데미-유니티로-배우는-게임-프로그래밍-기초
74,프로그래밍 - 기타,[온라인 SW 아카데미] 스마트폰 센서 제어를 위한 앱(app) 개발,세명컴퓨터고등학교장,0,5.0,"""좋아요""",https://edu.goorm.io/lecture/22344/온라인-sw-아카데미-스마트폰-센서-제어를-위한-앱-app-개발
75,프로그래밍 - 알고리즘,파이썬으로 배우는 알고리즘 기초,주니온,0,5.0,""" """,https://edu.goorm.io/lecture/22654/파이썬으로-배우는-알고리즘-기초
76,웹 프로그래밍 - 프로그래밍,"그림으로 배우는 HTML-CSS, 입문!",홍팍,19800,5.0,"""좋아요""",https://edu.goorm.io/lecture/22109/그림으로-배우는-html-css-입문
77,프로그래밍 - 알고리즘,비타알고와 정보올림피아드 준비하기 with 모의고사,구름,80000,0.0,,https://edu.goorm.io/lecture/22442/비타알고와-정보올림피아드-준비하기-with-모의고사
78,프로그래밍 - 데브옵스,따라하며 배우는 도커와 CI환경,John Ahn,24200,5.0,"""단순 사용법 뿐만아닌 원리까지 설명해주시려는 모습이 넘 좋습니다!!""",https://edu.goorm.io/lecture/22383/따라하며-배우는-도커와-ci환경
79,프로그래밍 - 프로그래밍 기초,"그림으로 배우는 자바, 객체지향!",홍팍,19800,4.9,"""작년 무료강의듣고 너무 좋아서 다시 찾아왔습니다!! 무료가 너무 잘되있어서 유료로 듣기를 고민 했는데 그외 구체적인 예시들이 나오면서 진작 유료도 들을껄이란 생각이 듭니다!! 제발...다른 언어도 내주세요 선생님....ㅠㅠ""",https://edu.goorm.io/lecture/22108/그림으로-배우는-자바-객체지향
80,프로그래밍 - 프로그래밍 기초,"그림으로 배우는 자바, 입문!",홍팍,19800,4.8,"""챕터별로 짧고 굵게 잘 설명해주셔서 너무 좋아요""",https://edu.goorm.io/lecture/22087/그림으로-배우는-자바-입문
81,웹 프로그래밍 - 프로그래밍,한 눈에 보는 타입스크립트,영웅박,0,5.0,"""이해하기 쉽게 설명이 잘되어 있습니다.""",https://edu.goorm.io/lecture/22106/한-눈에-보는-타입스크립트
82,프로그래밍 - 프로그래밍 기초,[애플 공식 교재] 스위프트 퍼즐 2,코더스하이,0,0.0,,https://edu.goorm.io/lecture/22013/애플-공식-교재-스위프트-퍼즐-2
83,프로그래밍 - 프로그래밍 기초,[애플 공식 교재] 스위프트 퍼즐 1,코더스하이,0,0.0,,https://edu.goorm.io/lecture/21987/애플-공식-교재-스위프트-퍼즐-1
84,프로그래밍 - 프로그래밍 기초,"코린아, 코딩하자! with 파이썬",주니온,0,4.5,"""선생님 인상도 너무 좋으시고, 파이썬 완전 처음인데 이해도 잘되네요~ 감사합니다. 아직 갈 길이 멀지만 열심히 해보겠습니다!""",https://edu.goorm.io/lecture/21975/코린아-코딩하자-with-파이썬
85,프로그래밍 - 프로그래밍 기초,무료 파이썬 활용편2 - GUI 프로그래밍,나도코딩,0,5.0,"""자세한 설명과 풍부한 예제. 좋습니다.""",https://edu.goorm.io/lecture/21780/무료-파이썬-활용편2-gui-프로그래밍
86,프로그래밍 - IoT,아두이노 시뮬레이터  - 팅커캐드 서킷,메이커멘토,0,5.0,"""너무 쉽게 이해하기 쉬웠어요~!! """,https://edu.goorm.io/lecture/21770/아두이노-시뮬레이터-팅커캐드-서킷
87,프로그래밍 - 모바일 프로그래밍,안드로이드 앱 개발로 배우는 자바 코딩 기초,Denis Jung,19000,5.0,,https://edu.goorm.io/lecture/21383/안드로이드-앱-개발로-배우는-자바-코딩-기초
88,웹 프로그래밍 - 프로그래밍,한 눈에 읽는 루비 온 레일즈,구름,0,4.9,"""굳""",https://edu.goorm.io/lecture/16335/한-눈에-읽는-루비-온-레일즈
89,프로그래밍 - 프로그래밍 기초,코돈의 7주 완성 기초 프로그래밍,codon knumed,20000,5.0,"""완벽한 강의입니다. 제작하느라 고생 많으셨습니다. """,https://edu.goorm.io/lecture/16902/코돈의-7주-완성-기초-프로그래밍
90,프로그래밍 - 프로그래밍 기초,동시에 배우는 C와 C++,두들낙서,0,5.0,"""차근차근 잘 설명해주셔서 좋습니다 :D""",https://edu.goorm.io/lecture/21611/동시에-배우는-c와-c
91,프로그래밍 - 데이터 추출/분석,이부일의 R릴레오 기초편,이 부일,0,0.0,,https://edu.goorm.io/lecture/21022/이부일의-r릴레오-기초편
92,프로그래밍 - 수학,[R] 머신러닝을 위한 통계학 기초,코코,44550,0.0,,https://edu.goorm.io/lecture/21244/r-머신러닝을-위한-통계학-기초
93,프로그래밍 - IoT,한큐에 끝내는 해커톤 입문_아두이노와 웹,밍밍이와 맹맹이,3300,5.0,,https://edu.goorm.io/lecture/21118/한큐에-끝내는-해커톤-입문_아두이노와-웹
94,프로그래밍 - 모바일 프로그래밍,코딩셰프의 Flutter 순한맛,코딩셰프,0,5.0,"""GOOD~ """,https://edu.goorm.io/lecture/21167/코딩셰프의-flutter-순한맛
